season_team_id,season_code,team_id,games_played,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
2015_GSS,E2015,GSS,10.0,400.0,664.0,182.0,387.0,63.0,202.0,111.0,144.0,102.0,223.0,325.0,163.0,58.0,133.0,15.0,30.0,235.0,189.0,639.0,40.0,66.4,18.2,38.7,0.47,6.3,20.2,0.312,11.1,14.4,0.771,10.2,22.3,32.5,16.3,5.8,13.3,1.5,3.0,23.5,18.9,63.9
2015_IST,E2015,IST,24.0,971.0,1984.0,498.0,950.0,221.0,560.0,325.0,466.0,276.0,596.0,872.0,466.0,126.0,320.0,84.0,56.0,499.0,518.0,2243.0,40.5,82.7,20.8,39.6,0.524,9.2,23.3,0.395,13.5,19.4,0.697,11.5,24.8,36.3,19.4,5.2,13.3,3.5,2.3,20.8,21.6,93.5
2015_KHI,E2015,KHI,24.0,962.2,1962.0,507.0,939.0,212.0,611.0,312.0,436.0,272.0,600.0,872.0,458.0,190.0,302.0,105.0,80.0,511.0,506.0,2245.0,40.1,81.8,21.1,39.1,0.54,8.8,25.5,0.347,13.0,18.2,0.716,11.3,25.0,36.3,19.1,7.9,12.6,4.4,3.3,21.3,21.1,93.5
2015_KSK,E2015,KSK,10.0,402.0,698.0,184.0,368.0,70.0,231.0,120.0,179.0,94.0,220.0,314.0,161.0,84.0,133.0,22.0,17.0,194.0,201.0,732.0,40.2,69.8,18.4,36.8,0.5,7.0,23.1,0.303,12.0,17.9,0.67,9.4,22.0,31.4,16.1,8.4,13.3,2.2,1.7,19.4,20.1,73.2
2015_LMG,E2015,LMG,10.0,401.0,698.0,181.0,371.0,77.0,196.0,105.0,147.0,87.0,215.0,302.0,178.0,55.0,176.0,19.0,22.0,204.0,199.0,698.0,40.1,69.8,18.1,37.1,0.488,7.7,19.6,0.393,10.5,14.7,0.714,8.7,21.5,30.2,17.8,5.5,17.6,1.9,2.2,20.4,19.9,69.8
2015_MAD,E2015,MAD,27.0,1081.9,2237.0,526.0,977.0,262.0,753.0,399.0,526.0,312.0,653.0,965.0,514.0,159.0,317.0,82.0,83.0,592.0,607.0,2503.0,40.1,82.9,19.5,36.2,0.538,9.7,27.9,0.348,14.8,19.5,0.759,11.6,24.2,35.7,19.0,5.9,11.7,3.0,3.1,21.9,22.5,92.7
2015_MAL,E2015,MAL,24.0,962.0,1732.0,454.0,872.0,184.0,587.0,272.0,363.0,313.0,502.0,815.0,398.0,139.0,312.0,46.0,58.0,440.0,466.0,1874.0,40.1,72.2,18.9,36.3,0.521,7.7,24.5,0.313,11.3,15.1,0.749,13.0,20.9,34.0,16.6,5.8,13.0,1.9,2.4,18.3,19.4,78.1
2015_MIL,E2015,MIL,10.0,401.0,737.0,192.0,403.0,71.0,227.0,140.0,181.0,107.0,215.0,322.0,162.0,73.0,119.0,15.0,24.0,231.0,215.0,742.0,40.1,73.7,19.2,40.3,0.476,7.1,22.7,0.313,14.0,18.1,0.773,10.7,21.5,32.2,16.2,7.3,11.9,1.5,2.4,23.1,21.5,74.2
2015_MUN,E2015,MUN,10.0,401.0,763.0,204.0,411.0,81.0,224.0,112.0,142.0,99.0,252.0,351.0,178.0,76.0,128.0,31.0,36.0,209.0,187.0,833.0,40.1,76.3,20.4,41.1,0.496,8.1,22.4,0.362,11.2,14.2,0.789,9.9,25.2,35.1,17.8,7.6,12.8,3.1,3.6,20.9,18.7,83.3
2015_OLY,E2015,OLY,24.0,971.0,1844.0,477.0,973.0,179.0,519.0,353.0,495.0,283.0,594.0,877.0,396.0,147.0,281.0,66.0,65.0,549.0,540.0,1997.0,40.5,76.8,19.9,40.5,0.49,7.5,21.6,0.345,14.7,20.6,0.713,11.8,24.8,36.5,16.5,6.1,11.7,2.8,2.7,22.9,22.5,83.2
2015_PAN,E2015,PAN,27.0,1086.0,2044.0,554.0,1045.0,185.0,550.0,381.0,532.0,278.0,658.0,936.0,521.0,199.0,374.0,60.0,83.0,590.0,565.0,2271.0,40.2,75.7,20.5,38.7,0.53,6.9,20.4,0.336,14.1,19.7,0.716,10.3,24.4,34.7,19.3,7.4,13.9,2.2,3.1,21.9,20.9,84.1
2015_RED,E2015,RED,27.0,1083.0,2025.0,537.0,1042.0,188.0,547.0,387.0,532.0,282.0,630.0,912.0,438.0,179.0,407.0,76.0,100.0,626.0,563.0,2051.0,40.1,75.0,19.9,38.6,0.515,7.0,20.3,0.344,14.3,19.7,0.727,10.4,23.3,33.8,16.2,6.6,15.1,2.8,3.7,23.2,20.9,76.0
2015_SAS,E2015,SAS,10.0,405.0,690.0,164.0,348.0,85.0,247.0,107.0,130.0,75.0,196.0,271.0,144.0,60.0,125.0,34.0,25.0,203.0,201.0,678.0,40.5,69.0,16.4,34.8,0.471,8.5,24.7,0.344,10.7,13.0,0.823,7.5,19.6,27.1,14.4,6.0,12.5,3.4,2.5,20.3,20.1,67.8
2015_STR,E2015,STR,10.0,400.0,711.0,212.0,432.0,62.0,186.0,101.0,136.0,99.0,229.0,328.0,178.0,77.0,153.0,27.0,40.0,205.0,187.0,731.0,40.0,71.1,21.2,43.2,0.491,6.2,18.6,0.333,10.1,13.6,0.743,9.9,22.9,32.8,17.8,7.7,15.3,2.7,4.0,20.5,18.7,73.1
2015_TEL,E2015,TEL,10.0,400.0,750.0,172.0,384.0,94.0,238.0,124.0,170.0,123.0,237.0,360.0,173.0,43.0,134.0,31.0,39.0,235.0,203.0,750.0,40.0,75.0,17.2,38.4,0.448,9.4,23.8,0.395,12.4,17.0,0.729,12.3,23.7,36.0,17.3,4.3,13.4,3.1,3.9,23.5,20.3,75.0
