game_point_id,game_id,game,round,phase,season_code,number_of_play,team,player_id,player,action_id,action,points,coord_x,coord_y,zone,fastbreak,second_chance,points_off_turnover,minute,console,points_a,points_b,timestamp
2007_001_133,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,133,OLY,PAQU,BOUROUSIS_ IOANNIS,3FGM,Three Pointer,3,12,679,G,None,None,None,9,01:00,21,16,1970-01-01
2007_001_135,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,135,BAS,PAFP,PLANINIC_ ZORAN,2FGA,Missed Two Pointer,0,25,43,C,None,None,None,9,01:00,21,16,1970-01-01
2007_001_137,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,137,BAS,PCBY,SPLITTER_ TIAGO,2FGM,Two Pointer,2,7,28,C,None,None,None,9,01:00,21,18,1970-01-01
2007_001_139,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,139,OLY,P000126,JACKSON_ MARC,3FGM,Three Pointer,3,10,674,G,None,None,None,10,00:00,24,18,1970-01-01
2007_001_142,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,142,BAS,PAFP,PLANINIC_ ZORAN,2FGM,Two Pointer,2,-141,576,I,None,None,None,10,00:00,24,20,1970-01-01
2007_001_143,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,143,OLY,PCRR,GREER_ LYNN TERENCE,2FGA,Missed Two Pointer,0,5,35,C,None,None,None,10,00:00,24,20,1970-01-01
2007_001_149,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,149,OLY,P000126,JACKSON_ MARC,FTM,Free Throw In,1,-1,-1,,None,None,None,10,00:00,25,20,1970-01-01
2007_001_150,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,150,OLY,P000126,JACKSON_ MARC,FTM,Free Throw In,1,-1,-1,,None,None,None,10,00:00,26,20,1970-01-01
2007_001_155,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,155,BAS,PAFP,PLANINIC_ ZORAN,3FGA,Missed Three Pointer,0,-671,-105,F,None,None,None,10,00:00,26,20,1970-01-01
2007_001_167,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,167,OLY,PCRR,GREER_ LYNN TERENCE,2FGM,Two Pointer,2,-38,30,D,None,None,None,11,09:00,28,20,1970-01-01
2007_001_170,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,170,OLY,P000126,JACKSON_ MARC,2FGA,Missed Two Pointer,0,10,48,C,None,None,None,11,09:00,28,20,1970-01-01
2007_001_177,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,177,BAS,PAFP,PLANINIC_ ZORAN,2FGM,Two Pointer,2,138,143,C,None,None,None,12,08:00,28,22,1970-01-01
2007_001_179,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,179,OLY,P000126,JACKSON_ MARC,2FGA,Missed Two Pointer,0,-5,43,D,None,None,None,12,08:00,28,22,1970-01-01
2007_001_181,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,181,OLY,PCBV,MACIJAUSKAS_ ARVYDAS,3FGA,Missed Three Pointer,0,-623,197,F,None,None,None,12,08:00,28,22,1970-01-01
2007_001_183,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,183,OLY,PAQU,BOUROUSIS_ IOANNIS,2FGM,Two Pointer,2,10,48,C,None,None,None,12,08:00,30,22,1970-01-01
2007_001_187,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,187,OLY,PAQU,BOUROUSIS_ IOANNIS,FTM,Free Throw In,1,-1,-1,,None,None,None,12,08:00,31,22,1970-01-01
2007_001_190,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,190,BAS,PAFP,PLANINIC_ ZORAN,2FGM,Two Pointer,2,5,28,C,None,None,None,12,08:00,31,24,1970-01-01
2007_001_192,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,192,OLY,P000126,JACKSON_ MARC,2FGA,Missed Two Pointer,0,-15,525,I,None,None,None,13,07:00,31,24,1970-01-01
2007_001_196,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,196,OLY,PTFV,WOODS_ QYNTEL,2FGM,Two Pointer,2,-7,33,D,None,None,None,13,07:00,33,24,1970-01-01
2007_001_199,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,199,BAS,PAJK,VIDAL_ SERGI,FTM,Free Throw In,1,-1,-1,,None,None,None,13,07:00,33,25,1970-01-01
2007_001_202,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,202,OLY,PTFV,WOODS_ QYNTEL,3FGM,Three Pointer,3,-628,312,F,None,None,None,13,07:00,36,25,1970-01-01
2007_001_204,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,204,BAS,PJTT,MCDONALD_ WILL,2FGM,Two Pointer,2,0,5,D,None,None,None,13,07:00,36,27,1970-01-01
2007_001_207,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,207,OLY,P000126,JACKSON_ MARC,2FGM,Two Pointer,2,7,61,C,None,None,None,14,06:00,38,27,1970-01-01
2007_001_221,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,221,OLY,P000126,JACKSON_ MARC,FTM,Free Throw In,1,-1,-1,,None,None,None,14,06:00,39,27,1970-01-01
2007_001_222,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,222,OLY,P000126,JACKSON_ MARC,FTM,Free Throw In,1,-1,-1,,None,None,None,14,06:00,40,27,1970-01-01
2007_001_225,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,225,BAS,PJTT,MCDONALD_ WILL,2FGAB,Missed Two Pointer,0,30,53,C,None,None,None,14,06:00,40,27,1970-01-01
2007_001_236,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,236,OLY,PCRR,GREER_ LYNN TERENCE,2FGM,Two Pointer,2,-12,48,D,None,None,None,15,05:00,42,27,1970-01-01
2007_001_238,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,238,BAS,PCBX,PRIGIONI_ PABLO,3FGA,Missed Three Pointer,0,-594,335,F,None,None,None,15,05:00,42,27,1970-01-01
2007_001_240,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,240,BAS,PJZJ,TELETOVIC_ MIRZA,3FGA,Missed Three Pointer,0,-664,156,F,None,None,None,15,05:00,42,27,1970-01-01
2007_001_242,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,242,OLY,P000126,JACKSON_ MARC,2FGM,Two Pointer,2,-2,135,D,None,None,None,15,05:00,44,27,1970-01-01
2007_001_243,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,243,BAS,PAFP,PLANINIC_ ZORAN,2FGA,Missed Two Pointer,0,2,46,D,None,None,None,15,05:00,44,27,1970-01-01
2007_001_248,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,248,BAS,PANB,RAKOCEVIC_ IGOR,2FGA,Missed Two Pointer,0,-102,107,D,None,None,None,16,04:00,44,27,1970-01-01
2007_001_250,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,250,BAS,PJZJ,TELETOVIC_ MIRZA,2FGA,Missed Two Pointer,0,7,41,C,None,None,None,16,04:00,44,27,1970-01-01
