season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
2019_P005199_DYR,E2019,P005199,ABROMAITIS_ TIM,DYR,27.0,8.0,490.2,202,40,70,31,76,29,37,26,75,101,26,13,12,8,6,51,46,244,18.16,7.48,1.48,2.59,0.571,1.15,2.81,0.408,1.07,1.37,0.784,0.96,2.78,3.74,0.96,0.48,0.44,0.3,0.22,1.89,1.7,9.04
2012_PAWM_BES,E2012,PAWM,ACIK_ TUTKU,BES,14.0,0.0,208.5,57,10,22,8,23,13,17,0,9,9,28,2,19,0,1,25,24,44,14.89,4.07,0.71,1.57,0.455,0.57,1.64,0.348,0.93,1.21,0.765,0.0,0.64,0.64,2.0,0.14,1.36,0.0,0.07,1.79,1.71,3.14
2011_PAWM_GAL,E2011,PAWM,AÇIK_ TUTKU,GAL,10.0,0.0,133.3,36,9,16,5,17,3,4,1,9,10,19,7,17,1,0,12,8,32,13.33,3.6,0.9,1.6,0.562,0.5,1.7,0.294,0.3,0.4,0.75,0.1,0.9,1.0,1.9,0.7,1.7,0.1,0.0,1.2,0.8,3.2
2007_PLGC_BAR,E2007,PLGC,ACKER_ ALEX,BAR,22.0,17.0,376.5,121,31,65,12,43,23,28,9,33,42,15,16,25,4,8,25,33,103,17.11,5.5,1.41,2.95,0.477,0.55,1.95,0.279,1.05,1.27,0.821,0.41,1.5,1.91,0.68,0.73,1.14,0.18,0.36,1.14,1.5,4.68
2009_PLGC_MIL,E2009,PLGC,ACKER_ ALEX,MIL,4.0,4.0,119.7,35,13,24,2,9,3,8,5,6,11,6,6,9,1,3,8,5,21,29.93,8.75,3.25,6.0,0.542,0.5,2.25,0.222,0.75,2.0,0.375,1.25,1.5,2.75,1.5,1.5,2.25,0.25,0.75,2.0,1.25,5.25
2012_PLGC_SOP,E2012,PLGC,ACKER_ ALEX,SOP,9.0,7.0,203.2,57,12,40,8,21,9,11,3,21,24,6,3,16,1,3,23,16,22,22.57,6.33,1.33,4.44,0.3,0.89,2.33,0.381,1.0,1.22,0.818,0.33,2.33,2.67,0.67,0.33,1.78,0.11,0.33,2.56,1.78,2.44
2019_P009847_TEL,E2019,P009847,ACY_ QUINCY,TEL,27.0,19.0,525.7,130,30,51,18,69,16,20,26,69,95,19,16,33,22,4,58,25,136,19.47,4.81,1.11,1.89,0.588,0.67,2.56,0.261,0.59,0.74,0.8,0.96,2.56,3.52,0.7,0.59,1.22,0.81,0.15,2.15,0.93,5.04
2021_P009847_OLY,E2021,P009847,ACY_ QUINCY,OLY,4.0,0.0,10.1,3,0,1,1,2,0,0,0,2,2,0,0,1,0,0,5,2,-1,2.53,0.75,0.0,0.25,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.25,0.0,0.0,1.25,0.5,-0.25
2014_P005795_BAS,E2014,P005795,ADAMS_ DARIUS,BAS,14.0,10.0,325.8,171,31,65,30,72,19,22,7,26,33,39,15,42,1,5,27,37,143,23.27,12.21,2.21,4.64,0.477,2.14,5.14,0.417,1.36,1.57,0.864,0.5,1.86,2.36,2.79,1.07,3.0,0.07,0.36,1.93,2.64,10.21
2015_P005795_BAS,E2015,P005795,ADAMS_ DARIUS,BAS,29.0,29.0,730.5,383,65,135,70,207,43,52,4,59,63,117,38,73,3,16,48,96,347,25.19,13.21,2.24,4.66,0.481,2.41,7.14,0.338,1.48,1.79,0.827,0.14,2.03,2.17,4.03,1.31,2.52,0.1,0.55,1.66,3.31,11.97
2022_P012056_TEL,E2022,P012056,ADAMS_ JALEN,TEL,23.0,8.0,364.5,154,36,76,20,56,22,26,8,24,32,31,13,23,2,7,41,26,107,15.85,6.7,1.57,3.3,0.474,0.87,2.43,0.357,0.96,1.13,0.846,0.35,1.04,1.39,1.35,0.57,1.0,0.09,0.3,1.78,1.13,4.65
2022_P011963_RED,E2022,P011963,ADAMS_ JAYLEN,RED,3.0,2.0,58.4,17,3,11,2,9,5,5,0,6,6,8,2,4,1,2,10,3,6,19.46,5.67,1.0,3.67,0.273,0.67,3.0,0.222,1.67,1.67,1.0,0.0,2.0,2.0,2.67,0.67,1.33,0.33,0.67,3.33,1.0,2.0
2017_P007872_IST,E2017,P007872,ADAMS_ JOSH,IST,16.0,8.0,268.1,112,21,37,15,39,25,30,5,20,25,32,7,18,2,4,36,30,105,16.75,7.0,1.31,2.31,0.568,0.94,2.44,0.385,1.56,1.88,0.833,0.31,1.25,1.56,2.0,0.44,1.12,0.12,0.25,2.25,1.88,6.56
2012_P002532_CHL,E2012,P002532,ADJAGBA_ ULYSSE,CHL,2.0,0.0,6.3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,-1,3.14,1.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5
2007_PJIX_ARI,E2007,PJIX,AGADAKOS_ LAZAROS,ARI,17.0,1.0,188.6,45,17,35,1,4,8,16,11,16,27,2,5,15,3,1,28,15,24,11.09,2.65,1.0,2.06,0.486,0.06,0.24,0.25,0.47,0.94,0.5,0.65,0.94,1.59,0.12,0.29,0.88,0.18,0.06,1.65,0.88,1.41
2013_P004429_OLY,E2013,P004429,AGRAVANIS_ DIMITRIOS,OLY,8.0,4.0,58.2,4,1,5,0,8,2,2,2,10,12,2,2,2,2,1,19,4,-8,7.27,0.5,0.12,0.62,0.2,0.0,1.0,0.0,0.25,0.25,1.0,0.25,1.25,1.5,0.25,0.25,0.25,0.25,0.12,2.38,0.5,-1.0
2014_P004429_OLY,E2014,P004429,AGRAVANIS_ DIMITRIOS,OLY,20.0,2.0,249.8,81,26,46,8,34,5,12,18,36,54,8,5,5,7,3,55,15,54,12.49,4.05,1.3,2.3,0.565,0.4,1.7,0.235,0.25,0.6,0.417,0.9,1.8,2.7,0.4,0.25,0.25,0.35,0.15,2.75,0.75,2.7
2015_P004429_OLY,E2015,P004429,AGRAVANIS_ DIMITRIOS,OLY,17.0,3.0,208.9,62,16,35,6,24,12,18,15,23,38,7,5,11,7,1,29,18,53,12.29,3.65,0.94,2.06,0.457,0.35,1.41,0.25,0.71,1.06,0.667,0.88,1.35,2.24,0.41,0.29,0.65,0.41,0.06,1.71,1.06,3.12
2016_P004429_OLY,E2016,P004429,AGRAVANIS_ DIMITRIOS,OLY,25.0,3.0,281.0,91,19,40,11,48,20,25,23,38,61,4,11,7,4,6,43,26,78,11.24,3.64,0.76,1.6,0.475,0.44,1.92,0.229,0.8,1.0,0.8,0.92,1.52,2.44,0.16,0.44,0.28,0.16,0.24,1.72,1.04,3.12
2017_P004429_OLY,E2017,P004429,AGRAVANIS_ DIMITRIOS,OLY,8.0,0.0,90.8,28,6,13,3,15,7,10,4,19,23,1,1,4,0,2,15,9,19,11.34,3.5,0.75,1.62,0.462,0.38,1.88,0.2,0.88,1.25,0.7,0.5,2.38,2.88,0.12,0.12,0.5,0.0,0.25,1.88,1.12,2.38
2018_P004429_OLY,E2018,P004429,AGRAVANIS_ DIMITRIS,OLY,1.0,0.0,5.2,3,1,1,0,1,1,2,0,0,0,0,2,0,1,0,2,1,3,5.25,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0
2022_P004429_PAN,E2022,P004429,AGRAVANIS_ DIMITRIS,PAN,1.0,0.0,10.2,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,4,1,-2,10.18,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,-2.0
2007_PKSF_MAD,E2007,PKSF,AGUILAR_ PABLO,MAD,3.0,0.0,11.6,9,2,3,1,1,2,2,1,4,5,0,0,0,1,0,1,1,14,3.85,3.0,0.67,1.0,0.667,0.33,0.33,1.0,0.67,0.67,1.0,0.33,1.33,1.67,0.0,0.0,0.0,0.33,0.0,0.33,0.33,4.67
2007_MAD991_MAD,E2007,MAD991,AGUILAR_ PABLO,MAD,1.0,0.0,1.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2014_PKSF_PAM,E2014,PKSF,AGUILAR_ PABLO,PAM,10.0,1.0,99.3,37,10,12,5,19,2,4,8,15,23,4,4,3,4,0,7,3,47,9.93,3.7,1.0,1.2,0.833,0.5,1.9,0.263,0.2,0.4,0.5,0.8,1.5,2.3,0.4,0.4,0.3,0.4,0.0,0.7,0.3,4.7
2013_P005171_NIK,E2013,P005171,AHEARN_ BLAKE,NIK,9.0,4.0,201.6,86,14,36,13,36,19,21,2,13,15,14,0,15,1,3,23,25,53,22.4,9.56,1.56,4.0,0.389,1.44,4.0,0.361,2.11,2.33,0.905,0.22,1.44,1.67,1.56,0.0,1.67,0.11,0.33,2.56,2.78,5.89
2013_PLHF_STR,E2013,PLHF,AJINCA_ ALEXIS,STR,9.0,9.0,230.3,154,63,113,0,1,28,37,15,34,49,15,8,20,8,4,32,37,155,25.59,17.11,7.0,12.56,0.558,0.0,0.11,0.0,3.11,4.11,0.757,1.67,3.78,5.44,1.67,0.89,2.22,0.89,0.44,3.56,4.11,17.22
2018_P007647_DAR,E2018,P007647,AKAY_ MERT,DAR,7.0,1.0,76.2,21,5,9,2,8,5,9,3,5,8,11,3,8,0,1,17,6,9,10.88,3.0,0.71,1.29,0.556,0.29,1.14,0.25,0.71,1.29,0.556,0.43,0.71,1.14,1.57,0.43,1.14,0.0,0.14,2.43,0.86,1.29
