season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
2022_P010583_BRE,U2022,P010583,"CAUPAIN, TROY",BRE,3.0,3.0,92.4,46,11,18,4,15,12,14,2,10,12,13,5,4,1,1,3,12,61,30.82,15.33,3.67,6.0,0.611,1.33,5.0,0.267,4.0,4.67,0.857,0.67,3.33,4.0,4.33,1.67,1.33,0.33,0.33,1.0,4.0,20.33
2022_P010253_VNC,U2022,P010253,"CHAPELLI, ALESSANDRO",VNC,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_P002671_BOU,U2022,P002671,"CHASSANG, ALEXANDRE",BOU,3.0,1.0,65.7,20,7,15,1,1,3,5,5,9,14,5,1,6,0,2,12,7,17,21.91,6.67,2.33,5.0,0.467,0.33,0.33,1.0,1.0,1.67,0.6,1.67,3.0,4.67,1.67,0.33,2.0,0.0,0.67,4.0,2.33,5.67
2022_P012013_HAM,U2022,P012013,"CHILDS, YOELI",HAM,3.0,3.0,84.3,31,15,25,0,0,1,1,6,13,19,2,2,6,5,0,8,2,37,28.09,10.33,5.0,8.33,0.6,0.0,0.0,0.0,0.33,0.33,1.0,2.0,4.33,6.33,0.67,0.67,2.0,1.67,0.0,2.67,0.67,12.33
2022_P011793_VNC,U2022,P011793,"CHILLO, MATTEO",VNC,1.0,0.0,5.4,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,2,1,-3,5.4,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-3.0
2022_P011188_ULM,U2022,P011188,"CHRISTEN, ROBIN",ULM,3.0,2.0,78.2,40,5,6,8,14,6,6,6,8,14,1,1,3,0,0,8,7,45,26.06,13.33,1.67,2.0,0.833,2.67,4.67,0.571,2.0,2.0,1.0,2.0,2.67,4.67,0.33,0.33,1.0,0.0,0.0,2.67,2.33,15.0
2022_P012012_HAM,U2022,P012012,"CLARK JR., MARVIN",HAM,3.0,0.0,59.6,36,4,6,7,16,7,8,2,5,7,2,1,4,1,0,7,6,30,19.86,12.0,1.33,2.0,0.667,2.33,5.33,0.438,2.33,2.67,0.875,0.67,1.67,2.33,0.67,0.33,1.33,0.33,0.0,2.33,2.0,10.0
2022_P011942_PMT,U2022,P011942,"CLAVELL, GIAN",PMT,3.0,2.0,76.8,52,7,13,7,20,17,20,0,5,5,6,4,6,1,0,8,15,47,25.58,17.33,2.33,4.33,0.538,2.33,6.67,0.35,5.67,6.67,0.85,0.0,1.67,1.67,2.0,1.33,2.0,0.33,0.0,2.67,5.0,15.67
2022_P012030_HAM,U2022,P012030,"CLEARY, HARRISON",HAM,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_P009565_BBU,U2022,P009565,"CLEMMONS, ANTHONY",BBU,3.0,3.0,90.9,39,6,12,6,13,9,14,3,5,8,5,1,5,1,0,11,9,29,30.3,13.0,2.0,4.0,0.5,2.0,4.33,0.462,3.0,4.67,0.643,1.0,1.67,2.67,1.67,0.33,1.67,0.33,0.0,3.67,3.0,9.67
